A,A2,법정동명,특수지구분코드,특수지구분명,지번,기준연도,기준월,A9,xcoord,ycoord
4413010500101250004,4413010500,천안시,1,일반, 사직동 125-4,1996,1,310000,212838.0654,467059.4145
4413010500101260004,4413010500,천안시,1,일반, 사직동 126-4,1996,1,260000,212873.2536,467098.6153
4413010500101300006,4413010500,천안시,1,일반, 사직동 130-6,1996,1,230000,212916.3902,467096.549
4413010500101520003,4413010500,천안시,1,일반, 사직동 152-3,1996,1,540000,좌표x,좌표x
4413010500101670001,4413010500,천안시,1,일반, 사직동 167-1,1996,1,500000,좌표x,좌표x
4413010500101700002,4413010500,천안시,1,일반, 사직동 170-2,1996,1,2300000,좌표x,좌표x
4413010500101750002,4413010500,천안시,1,일반, 사직동 175-2,1996,1,1800000,213092.643,467008.0609
4413010500101760005,4413010500,천안시,1,일반, 사직동 176-5,1996,1,1500000,213143.5456,467033.0779
4413010500101760011,4413010500,천안시,1,일반, 사직동 176-11,1996,1,420000,213130.4947,467001.0618
4413010500101780001,4413010500,천안시,1,일반, 사직동 178-1,1996,1,1700000,213164.2147,467000.5629
4413010500101780002,4413010500,천안시,1,일반, 사직동 178-2,1996,1,1900000,좌표x,좌표x
4413010500101830001,4413010500,천안시,1,일반, 사직동 183-1,1996,1,1400000,213169.8559,466929.0671
4413010500101840016,4413010500,천안시,1,일반, 사직동 184-16,1996,1,290000,213140.4509,466856.4711
4413010500101860001,4413010500,천안시,1,일반, 사직동 186-1,1996,1,1300000,213150.6214,466832.9276
4413010500101880002,4413010500,천안시,1,일반, 사직동 188-2,1996,1,1500000,213106.6306,466883.3691
4413010500101900008,4413010500,천안시,1,일반, 사직동 190-8,1996,1,1450000,213095.3821,466926.8058
4413010500102020015,4413010500,천안시,1,일반, 사직동 202-15,1996,1,1400000,213063.8498,466907.1375
4413010500102020020,4413010500,천안시,1,일반, 사직동 202-20,1996,1,1450000,좌표x,좌표x
4413010500102040002,4413010500,천안시,1,일반, 사직동 204-2,1996,1,430000,213026.7813,466983.8236
4413010500102110001,4413010500,천안시,1,일반, 사직동 211-1,1996,1,470000,212997.8493,467009.136
4413010500102130003,4413010500,천안시,1,일반, 사직동 213-3,1996,1,1000000,212981.1023,466933.3562
4413010500102210000,4413010500,천안시,1,일반, 사직동 221,1996,1,280000,좌표x,좌표x
